id_venda;data_venda;cliente;email;cidade;uf;produto;categoria;quantidade;preco_unitario;forma_pagamento;status_pedido
v0283;2025-01-02;Bruno Lima;bruno.lima@email.com;Campinas;SP;Webcam;Eletrônicos;4.0;319.0;Cartão De Débito;concluido
v0236;2025-01-03;Mariana Oliveira;mariana.oliveira@email.com;Goiânia;GO;Cadeira Ergonômica;Móveis;2.0;1490.0;Pix;concluido
v0189;2025-01-04;Daniel Rocha;daniel.rocha@email.com;Porto Alegre;RS;Mouse Sem Fio;Acessórios;5.0;129.9;Cartão De Crédito;concluido
v0142;2025-01-05;Patrícia Nunes;patricia.nunes@email.com;Fortaleza;CE;Headset;Acessórios;3.0;279.9;Boleto;concluido
v0095;2025-01-06;Felipe Santos;felipe.santos@email.com;Recife;PE;Monitor 24;Eletrônicos;1.0;1099.0;Cartão De Débito;concluido
v0048;2025-01-07;Sofia Cardoso;sofia.cardoso@email.com;Salvador;BA;Notebook;Eletrônicos;4.0;3499.9;Pix;concluido
v0284;2025-01-09;Isabela Ribeiro;isabela.ribeiro@email.com;Belo Horizonte;MG;Cadeira Ergonômica;Móveis;5.0;1490.0;Pix;cancelado
v0237;2025-01-10;William Carvalho;william.carvalho@email.com;Rio De Janeiro;RJ;Mouse Sem Fio;Acessórios;3.0;129.9;Cartão De Crédito;concluído
v0190;2025-01-11;Karina Gomes;karina.gomes@email.com;São Paulo;SP;Headset;Acessórios;1.0;279.9;Boleto;concluído
v0143;2025-01-12;Bruno Lima;bruno.lima@email.com;Campinas;SP;Monitor 24;Eletrônicos;4.0;1099.0;Cartão De Débito;pendente
v0096;2025-01-13;Mariana Oliveira;mariana.oliveira@email.com;Goiânia;GO;Notebook;Eletrônicos;2.0;3499.9;Pix;concluído
v0049;2025-01-14;Daniel Rocha;daniel.rocha@email.com;Porto Alegre;RS;Mesa Escritório;Móveis;5.0;899.9;Cartão De Crédito;cancelado
v0002;2025-01-15;Patrícia Nunes;patricia.nunes@email.com;Fortaleza;CE;Teclado Mecânico;Acessórios;3.0;389.5;Boleto;concluído
v0285;2025-01-16;Rafael Teixeira;rafael.teixeira@email.com;Recife;PE;Mouse Sem Fio;Acessórios;1.0;129.9;Cartão De Crédito;concluído
v0238;2025-01-17;Gabriela Costa;gabriela.costa@email.com;Salvador;BA;Headset;Acessórios;4.0;279.9;Boleto;pendente
v0191;2025-01-18;Thiago Moreira;thiago.moreira@email.com;Curitiba;PR;Monitor 24;Eletrônicos;2.0;1099.0;Cartão De Débito;concluído
v0144;2025-01-19;Isabela Ribeiro;isabela.ribeiro@email.com;Belo Horizonte;MG;Notebook;Eletrônicos;5.0;3499.9;Pix;cancelado
v0097;2025-01-20;William Carvalho;william.carvalho@email.com;Rio De Janeiro;RJ;Mesa Escritório;Móveis;3.0;899.9;Cartão De Crédito;concluído
v0050;2025-01-21;Karina Gomes;karina.gomes@email.com;São Paulo;SP;Teclado Mecânico;Acessórios;1.0;389.5;Boleto;concluído
v0003;2025-01-22;Bruno Lima;bruno.lima@email.com;Campinas;SP;Webcam;Eletrônicos;4.0;319.0;Cartão De Débito;pendente
v0286;2025-01-23;Carla Mendes;carla.mendes@email.com;Goiânia;GO;Headset;Acessórios;2.0;279.9;Boleto;concluído
v0239;2025-01-24;Nicolas Barbosa;nicolas.barbosa@email.com;Porto Alegre;RS;Monitor 24;Eletrônicos;5.0;1099.0;Cartão De Débito;cancelado
v0192;2025-01-25;Eduarda Alves;eduarda.alves@email.com;Fortaleza;CE;Notebook;Eletrônicos;3.0;3499.9;Pix;concluído
v0145;2025-01-26;Rafael Teixeira;rafael.teixeira@email.com;Recife;PE;Mesa Escritório;Móveis;1.0;899.9;Cartão De Crédito;concluído
v0098;2025-01-27;Gabriela Costa;gabriela.costa@email.com;Salvador;BA;Teclado Mecânico;Acessórios;4.0;389.5;Boleto;pendente
v0051;2025-01-28;Thiago Moreira;thiago.moreira@email.com;Curitiba;PR;Webcam;Eletrônicos;2.0;319.0;Cartão De Débito;concluído
v0004;2025-01-29;Isabela Ribeiro;isabela.ribeiro@email.com;Belo Horizonte;MG;Cadeira Ergonômica;Móveis;5.0;1490.0;Pix;cancelado
v0287;2025-01-30;João Pereira;joao.pereira@email.com;Rio De Janeiro;RJ;Monitor 24;Eletrônicos;3.0;1099.0;Cartão De Débito;concluído
v0240;2025-01-31;Ana Souza;ana.souza@email.com;São Paulo;SP;Notebook;Eletrônicos;1.0;3499.9;Pix;concluído
v0193;2025-02-01;Lucas Ferreira;lucas.ferreira@email.com;Campinas;SP;Mesa Escritório;Móveis;4.0;899.9;Cartão De Crédito;pendente
v0099;2025-02-03;Nicolas Barbosa;nicolas.barbosa@email.com;Porto Alegre;RS;Webcam;Eletrônicos;5.0;319.0;Cartão De Débito;cancelado
v0052;2025-02-04;Eduarda Alves;eduarda.alves@email.com;Fortaleza;CE;Cadeira Ergonômica;Móveis;3.0;1490.0;Pix;concluído
v0005;2025-02-05;Rafael Teixeira;rafael.teixeira@email.com;Recife;PE;Mouse Sem Fio;Acessórios;1.0;129.9;Cartão De Crédito;concluído
